competence;id_agent;modulation
c-s-comm-02;40;3
c-s-comm-02;41;2,5
c-s-comm-02;42;2
c-s-comm-02;43;3
c-s-comm-02;44;0
c-s-comm-02;45;0
c-s-comm-02;46;0
c-s-comm-02;47;3,5
c-s-comm-02;48;0
c-s-comm-02;49;0
c-s-comm-02;50;3,5
c-s-comm-02;51;0
c-s-comm-02;52;3,5
c-s-comm-02;53;0
c-s-comm-02;54;0
c-s-comm-02;55;2,5
c-s-comm-02;56;0
c-s-comm-02;57;0
c-s-comm-02;58;0
c-s-comm-02;59;0
c-s-comm-02;60;0
c-s-comm-02;61;3,5
c-s-comm-02;62;0
c-s-comm-02;63;0
c-s-comm-02;64;0
c-s-comm-02;65;0
c-s-comm-02;66;0
c-s-comm-02;67;0
c-s-comm-02;68;0
c-s-comm-02;69;0
c-s-comm-02;70;0
c-s-comm-02;71;0
c-s-comm-02;72;0
c-s-comm-02;73;0
c-s-comm-02;74;0
c-s-comm-02;75;0
c-s-comm-02;76;0
c-s-comm-02;77;0
c-s-comm-02;78;0
c-s-comm-02;79;0
c-s-comm-02;80;0
c-s-comm-02;81;0
c-s-comm-02;82;0
c-s-comm-02;83;0
c-s-comm-02;84;0
c-s-comm-02;85;2,5
c-s-comm-02;86;0
c-s-comm-02;87;0
c-s-comm-02;88;0
c-s-comm-02;89;0
c-s-comm-02;90;0
c-s-comm-02;91;0
c-s-comm-02;92;2
c-s-comm-02;93;0
c-s-comm-02;94;2
c-s-comm-02;95;0
c-s-comm-02;96;0
c-s-comm-02;97;2
c-s-comm-02;98;0
c-s-comm-02;99;0
c-s-comm-02;100;0
c-s-comm-02;101;0
c-s-comm-02;102;0
c-s-comm-02;103;0
c-s-comm-02;104;0
c-s-comm-02;105;0
c-s-comm-02;106;0
c-s-comm-02;107;0
c-s-comm-02;108;0
c-s-comm-02;109;0
c-s-comm-02;110;0
c-s-comm-02;111;0
c-s-comm-02;112;1
c-s-comm-02;113;1
c-s-comm-02;114;0
c-s-comm-02;115;1
c-s-comm-02;116;0
c-s-comm-02;117;0
c-s-comm-02;118;0
c-s-comm-02;119;0
c-s-comm-02;120;0
c-s-comm-02;121;0
c-s-comm-02;122;0
c-s-comm-02;123;0
c-s-comm-02;124;2
c-s-comm-02;125;0
c-s-comm-02;126;2
c-s-comm-02;127;2
c-s-comm-02;128;3
c-s-comm-02;129;2
c-s-comm-02;130;0
c-s-comm-02;131;0
c-s-comm-02;132;0
c-s-comm-02;133;0
c-s-comm-02;134;0
c-s-comm-02;135;0
c-s-comm-02;136;0
c-s-comm-02;137;0
