code;nom
DDO;'Département du Développement de l''Offre'
DSI;'Departement du Systeme d''Information'
SGAL;Secrétariat Général
DPI;Departement Projets et Innovation
DOS;'Departement de l''Offre de Services'
Direction;Direction
