code;nom
Analyser;Analyser
APIL;A P I L 
Communication;Communiquer
Coordination;Coordination
Direction;Direction
Documenter;Documenter
DORE;DORE
Edition numerique;Edition numerique
FDD;FDD
Formation;Formation
I Dev;I Dev
I Prod;I Prod
Négo;Négo
Portails;Portails
Publier;Publier
R et D;R et D
SFJ;Service Financier et Juridique
SIB;Service Infrastructure Bureautique
SPP;SPP
SRH;SRH
STL;STL
Termino;Termino
Traduction;Traduction
VBDD;VBDD
Web;Web 
